+----------------------+------------+----------------------+
| Token                | Type       | Line                 |
+----------------------+------------+----------------------+
| HEADER_INCLUDE       | 1          | #include <iostream>  |
| HEADER_INCLUDE       | 2          | #include <string>    |
| KEYWORD              | 3          | using                |
| KEYWORD              | 3          | namespace            |
| KEYWORD              | 3          | std                  |
| PUNCTUATION          | 3          | ;                    |
| PREPROCESSOR_DEFINE  | 4          | #define MAX 100      |
| KEYWORD              | 7          | class                |
| IDENTIFIER           | 7          | Person               |
| PUNCTUATION          | 7          | {                    |
| KEYWORD              | 8          | private              |
| PUNCTUATION          | 8          | :                    |
| KEYWORD              | 9          | string               |
| IDENTIFIER           | 9          | name                 |
| PUNCTUATION          | 9          | ;                    |
| KEYWORD              | 11         | public               |
| PUNCTUATION          | 11         | :                    |
| KEYWORD              | 13         | void                 |
| IDENTIFIER           | 13         | setName              |
| PUNCTUATION          | 13         | (                    |
| KEYWORD              | 13         | string               |
| IDENTIFIER           | 13         | n                    |
| PUNCTUATION          | 13         | )                    |
| PUNCTUATION          | 13         | {                    |
| IDENTIFIER           | 14         | name                 |
| OPERATOR             | 14         | =                    |
| IDENTIFIER           | 14         | n                    |
| PUNCTUATION          | 14         | ;                    |
| PUNCTUATION          | 15         | }                    |
| KEYWORD              | 18         | string               |
| IDENTIFIER           | 18         | getName              |
| PUNCTUATION          | 18         | (                    |
| PUNCTUATION          | 18         | )                    |
| PUNCTUATION          | 18         | {                    |
| KEYWORD              | 19         | return               |
| IDENTIFIER           | 19         | name                 |
| PUNCTUATION          | 19         | ;                    |
| PUNCTUATION          | 20         | }                    |
| KEYWORD              | 23         | void                 |
| IDENTIFIER           | 23         | inputName            |
| PUNCTUATION          | 23         | (                    |
| PUNCTUATION          | 23         | )                    |
| PUNCTUATION          | 23         | {                    |
| KEYWORD              | 24         | cout                 |
| OPERATOR             | 24         | <<                   |
| LITERAL_STRING       | 24         | "Enter your name: "  |
| PUNCTUATION          | 24         | ;                    |
| KEYWORD              | 25         | cin                  |
| OPERATOR             | 25         | >>                   |
| IDENTIFIER           | 25         | name                 |
| PUNCTUATION          | 25         | ;                    |
| PUNCTUATION          | 26         | }                    |
| KEYWORD              | 29         | void                 |
| IDENTIFIER           | 29         | greet                |
| PUNCTUATION          | 29         | (                    |
| PUNCTUATION          | 29         | )                    |
| PUNCTUATION          | 29         | {                    |
| KEYWORD              | 30         | cout                 |
| OPERATOR             | 30         | <<                   |
| LITERAL_STRING       | 30         | "Hello, "            |
| OPERATOR             | 30         | <<                   |
| IDENTIFIER           | 30         | name                 |
| OPERATOR             | 30         | <<                   |
| LITERAL_STRING       | 30         | "!"                  |
| OPERATOR             | 30         | <<                   |
| KEYWORD              | 30         | endl                 |
| PUNCTUATION          | 30         | ;                    |
| PUNCTUATION          | 31         | }                    |
| OPERATOR             | 33         | ~                    |
| IDENTIFIER           | 33         | Person               |
| PUNCTUATION          | 33         | (                    |
| PUNCTUATION          | 33         | )                    |
| PUNCTUATION          | 33         | {                    |
| PUNCTUATION          | 33         | }                    |
| PUNCTUATION          | 34         | }                    |
| PUNCTUATION          | 34         | ;                    |
| KEYWORD              | 37         | class                |
| IDENTIFIER           | 37         | Student              |
| PUNCTUATION          | 37         | :                    |
| KEYWORD              | 37         | public               |
